Name,Website,Stage,Industry,Tags,Region,Startup HQ,NumOfTags,Funding (USD),CompanySize,Funding_min,rate_percent,Allign with 2030,Funding_Avg,Opportunity_Level,Year of establishment
NovaSync Star,https://misraj.sa/,Seed,Technology,APP Dev & PaaS,Eastern,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,4.97,Yes,2.00M,Medium,2014
Misraj,https://misraj.sa/,Seed,Technology,AI & Machine Learning,Eastern,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,4.97,Yes,2.00M,Medium,2014
Spiders,Spiders.ai,Seed,Technology,AI & Machine Learning,Makkah,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,0
Kashcool,https://kashcool.com.sa/home-ar/about/,Seed,Education,3D Printing,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Waffarha,https://waffarha.com/ar,Series A,Technology,Marketplace,Riyadh,Saudi Arabia,1,6M – 15M,Startup / Small,6000000.0,75.6,Yes,10.50M,Medium,2012
AlamriCapital,MorbehCapital.com,Pre-Seed,"Financial Services,Technology",Financial Solution,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,Yes,1.25M,Low,0
Rology,rology.health,Pre-Series A,"Healthcare,Technology","AI & Machine Learning,Telehealth ",Riyadh,Saudi Arabia,2,2M – 6M,Startup / Small,2000000.0,75.6,Yes,4.00M,Medium,2017
Cubelink,https://getcubelink.com/,Seed,"Technology ,Food & Beverages ,Real Estate,Construction","AI & Machine Learning,Cloud Solution ,SaaS,Cyber Security ",Riyadh,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Marn,marn.com,Private Equity,"Financial Services,Retail",Financial Solution,Riyadh,Saudi Arabia,0,50M – 500M+,Large,50000000.0,75.6,No,275.00M,High,0
MyFounders.Club,www.myfounders.club,Pre-Seed,"Entertainment,Technology ,Education","Subscription,E-Learning,IT Solutions Services,Financial Solution,Podcasts / Audiobooks,SME-Funding,Web3& Metaverse ,AI & Machine Learning",Riyadh,Saudi Arabia,8,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Trackgenesis,www.trackgenesis.com,Private Equity,Technology,"Blockchain Solution ,Web3& Metaverse ",Riyadh,Saudi Arabia,2,50M – 500M+,Large,50000000.0,75.6,Yes,275.00M,High,2019
Epona AI Technology,https://epona.consulting/,Seed,Technology,"AI & Machine Learning,IT Solutions Services",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Paravela,https://paravela.com,Pre-Seed,Technology,"Blockchain Solution ,AI & Machine Learning,Web3& Metaverse ",Riyadh,Saudi Arabia,3,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2023
Silan AI,silanai.com,Seed,Technology,"AI & Machine Learning,SaaS,IT Solutions Services",Madinah,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,2.87,Yes,2.00M,Medium,2024
Gifted Wallet,https://www.linkedin.com/company/giftedwallet/about/,Pre-Seed,Financial Services,Subscription,Makkah,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,13.68,No,1.25M,Low,0
MediStore,https://medistore.com.sa/,Seed,Healthcare,"E-Commerce,Wholesale",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Maghsala,https://www.maghsala.co/,Pre-Seed,Consumer Service,Marketplace,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2024
Rased,https://www.rased.ai/,Seed,Technology,Cyber Security ,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Sindbad.Tech,https://sindbad.tech/,Seed,Financial Services,"Robo-Advisory ,Trading ",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
Rawiah,https://rawiah.com/,Seed,Education,E-Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
KASHCOOL,WWW.KASHCOOL.COM.SA,Seed,Education,E-Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2017
Taawoni,https://taawoni.com/,Seed,Education,"SaaS,E-Learning,Marketplace",Riyadh,Saudi Arabia,3,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Agd Ejar,https://agd.sa,Pre-Seed,"Technology ,Real Estate,Financial Services","SaaS,RegTech,Financial Solution",Makkah,Saudi Arabia,0,500K – 2M,Startup / Small,500000000.0,13.68,No,1.25M,Low,0
makan.design,https://www.makan.design/,Seed,"Art & Design,Construction",Design Services,Riyadh,Saudi Arabia,0,1M – 3M,Startup / Small,1000000.0,75.6,No,2.00M,Medium,0
ADEB,https://www.linkedin.com/in/afnan-rm/,Seed,"Social,Technology ,HR & Recruitments","Marketplace,HR & Recruitment ",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Clariscan.AI,clariscan.io,Pre-Seed,Healthcare,"AI & Machine Learning,Cloud Solution ",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
RushRooms,https://rushrooms.net/,Seed,"Technology ,Consumer Service",E-Commerce,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,0
Fundi,https://fundi.sa/,Seed,Financial Services,Fintech Infrastructure,Riyadh,Saudi Arabia,0,1M – 3M,Startup / Small,1000000.0,75.6,No,2.00M,Medium,0
Locate,https://www.locate.sa/,Series A,Food & Beverages,"Last Mile Delivery,Marketplace",Eastern,Saudi Arabia,2,6M – 15M,Startup / Small,6000000.0,4.97,Yes,10.50M,Medium,0
Ertikaz Solutions,https://www.ertikaz-tech.com/,Seed,Logistics,Fleet Mangement ,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
BehavTech,https://behavtech.sa,Seed,"Healthcare,Education","Telehealth ,E-Learning",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
Zml,https://www.zmlapp.com/,Seed,Pets & Animals,Marketplace,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2022
Kitabh,Kitabh.com,Pre-Seed,"Media,Media Production,Social,Entertainment","Media Production & Distribution,Social Media",Riyadh,Saudi Arabia,2,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,0
Bookista,bookista.sa,Pre-Seed,"Technology ,Media Production,Media,Professional Service","Marketplace,Social Media,Media Production & Distribution,Aggregator",Eastern,Saudi Arabia,4,500K – 2M,Startup / Small,500000000.0,4.97,Yes,1.25M,Low,2021
Arable,https://www.arablefoods.com/,Seed,Food & Beverages,AgriTech,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2017
Colada,https://coladaapp.io/ar/,Seed,Food & Beverages,AI & Machine Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
Firnas,https://www.firnas.ai/,Pre-Seed,Technology,Hospitality,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,Yes,1.25M,Low,2022
Hollat,https://hollat.net/,Seed,Technology,"CRM,AI & Machine Learning",Riyadh,Saudi Arabia,2,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2023
MLNetworks,https://mlnetworks.io/,Seed,Telecommunication,SaaS,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2023
Olo Group,https://www.olo.net.sa/,Seed,Education,E-Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2020
Order,https://tryorder.com/,Seed,Consulting,IT Solutions Services,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
Rintel,https://www.rintel.co/,Pre-Seed,Food & Beverages,Consumer Services,Riyadh,Saudi Arabia,1,500K – 2M,Startup / Small,500000000.0,75.6,No,1.25M,Low,0
Saif Check,https://www.saifcheck.ai/,Seed,Professional Service,Cyber Security ,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2023
Wittify,https://wittify.ai/,Seed,Technology,AI & Machine Learning,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2024
Noot نوت,www.noot.co,Seed,"HR & Recruitments,Technology","CRM,ePOS,Financial Solution,HR & Recruitment ",Makkah,Saudi Arabia,4,1M – 3M,Startup / Small,1000000.0,13.68,Yes,2.00M,Medium,2023
Cabiro,https://cabrio.sa/,Seed,Transportation & Automotive,Marketplace,Riyadh,Saudi Arabia,1,1M – 3M,Startup / Small,1000000.0,75.6,Yes,2.00M,Medium,2017
